date,location,district,dico,tmean_estimated_c,tmin_c,tmax_c,tmin_concelho_min_c,tmin_concelho_max_c,tmax_concelho_min_c,tmax_concelho_max_c,source,fetched_at
2025-08-18,Matosinhos,Porto,1308,20.093,15.453,24.734,15.4,15.536,24.2,25.299,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-19,Matosinhos,Porto,1308,19.272,13.971,24.573,13.801,14.1,24,25.198,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-20,Matosinhos,Porto,1308,19.743,14.917,24.569,14.801,15,23.8,25.398,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-21,Matosinhos,Porto,1308,19.773,13.565,25.981,13.501,13.6,25.4,26.599,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-22,Matosinhos,Porto,1308,22.87,15.303,30.437,15.1,15.552,29.9,31.014,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-23,Matosinhos,Porto,1308,21.465,16,26.93,15.502,16.4,26.7,27.199,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-24,Matosinhos,Porto,1308,20.029,16.434,23.624,16.002,16.8,22.6,24.796,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-25,Matosinhos,Porto,1308,20.327,16.811,23.843,16.701,16.9,22.4,25.495,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-26,Matosinhos,Porto,1308,19.582,14.682,24.482,14.601,14.794,23.9,25.099,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-27,Matosinhos,Porto,1308,18.689,13.72,23.657,13.301,14.1,23.1,24.298,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-28,Matosinhos,Porto,1308,18.776,14.339,23.214,14.3,14.547,22.7,23.798,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-29,Matosinhos,Porto,1308,20.097,16.413,23.781,16.201,16.6,23.5,24.099,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-30,Matosinhos,Porto,1308,21.474,18.065,24.883,17.801,18.3,24,25.897,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-08-31,Matosinhos,Porto,1308,19.036,15.986,22.086,15.702,16.2,21.7,22.499,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-01,Matosinhos,Porto,1308,18.23,13.665,22.794,13.401,13.9,22,23.697,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-02,Matosinhos,Porto,1308,20.093,16.293,23.893,15.402,17.1,23.6,24.21,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-03,Matosinhos,Porto,1308,18.539,15.541,21.537,14.902,16.1,21.202,21.8,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-04,Matosinhos,Porto,1308,18.627,13.52,23.734,13.101,13.9,23.3,24.199,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-05,Matosinhos,Porto,1308,18.931,12.96,24.902,12.9,13,23.8,26.097,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-06,Matosinhos,Porto,1308,18.772,13.712,23.832,13.301,14.1,23.3,24.399,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-07,Matosinhos,Porto,1308,19.098,15.075,23.121,15,15.268,22.8,23.499,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-08,Matosinhos,Porto,1308,17.54,12.401,22.679,11.902,12.8,22,23.4,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-09,Matosinhos,Porto,1308,16.583,11.076,22.09,10.801,11.3,21.2,23.097,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-10,Matosinhos,Porto,1308,18.72,15.953,21.486,15.502,16.3,20.902,22,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-11,Matosinhos,Porto,1308,18.278,15.079,21.476,14.801,15.3,20.8,22.199,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-12,Matosinhos,Porto,1308,18.934,14.275,23.593,13.503,14.9,22.8,24.497,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-13,Matosinhos,Porto,1308,17.915,12.431,23.4,11.902,12.9,22.7,24.197,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-14,Matosinhos,Porto,1308,20.995,16.885,25.104,16.502,17.2,24.5,25.798,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-15,Matosinhos,Porto,1308,19.484,14.915,24.054,14.601,15.2,23.2,24.997,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-16,Matosinhos,Porto,1308,19.737,12.47,27.004,11.8,13.198,25.5,28.695,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-17,Matosinhos,Porto,1308,16.949,10.705,23.193,10.6,10.848,22.5,23.963,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-18,Matosinhos,Porto,1308,18.164,11.152,25.177,10.9,11.46,24.2,26.296,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-19,Matosinhos,Porto,1308,21.867,16.05,27.684,15.502,16.5,27.004,28.2,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-20,Matosinhos,Porto,1308,16.986,13.414,20.558,13.2,13.734,20.003,21,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-21,Matosinhos,Porto,1308,15.697,10.652,20.742,10.38,10.9,20,21.597,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
2025-09-22,Matosinhos,Porto,1308,15.491,9.065,21.916,8.9,9.326,21.3,22.598,IPMA open-data observation/climate temperature-min and temperature-max by municipality,2026-05-05T16:18:57Z
