source_updated_at,fetched_at,location,district,global_id_local,target_date,uv_index,uv_level,uv_level_order,uv_color,protection_required,recommendation_summary,source
2026-05-05T19:56:32,2026-05-05T23:12:01Z,Matosinhos,Porto,1130800,2026-05-06,5.8,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-05-05T19:56:32,2026-05-05T23:11:14Z,Matosinhos,Porto,1130800,2026-05-07,6.1,Alto,2,Laranja,Proteção reforçada,"Proteção reforçada; reduzir exposição nas horas centrais, procurar sombra e usar proteção ocular, chapéu, roupa e protetor solar.",IPMA public-data forecast aggregate daily UV index
2026-05-05T19:56:32,2026-05-05T23:12:01Z,Matosinhos,Porto,1130800,2026-05-08,5.5,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-05-05T19:56:32,2026-05-05T23:11:14Z,Matosinhos,Porto,1130800,2026-05-09,3.1,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-05-05T19:56:32,2026-05-05T23:11:14Z,Matosinhos,Porto,1130800,2026-05-10,,Sem dados,-1,,Sem dados,Sem dados de Índice UV para emitir recomendação automática.,IPMA public-data forecast aggregate daily UV index
2026-05-05T19:56:32,2026-05-05T23:11:14Z,Matosinhos,Porto,1130800,2026-05-11,,Sem dados,-1,,Sem dados,Sem dados de Índice UV para emitir recomendação automática.,IPMA public-data forecast aggregate daily UV index
2026-05-05T19:56:32,2026-05-05T23:11:14Z,Matosinhos,Porto,1130800,2026-05-12,,Sem dados,-1,,Sem dados,Sem dados de Índice UV para emitir recomendação automática.,IPMA public-data forecast aggregate daily UV index
2026-05-05T19:56:32,2026-05-05T23:11:14Z,Matosinhos,Porto,1130800,2026-05-13,,Sem dados,-1,,Sem dados,Sem dados de Índice UV para emitir recomendação automática.,IPMA public-data forecast aggregate daily UV index
2026-05-05T19:56:32,2026-05-05T23:11:14Z,Matosinhos,Porto,1130800,2026-05-14,,Sem dados,-1,,Sem dados,Sem dados de Índice UV para emitir recomendação automática.,IPMA public-data forecast aggregate daily UV index
2026-05-06T07:55:39,2026-05-06T12:06:59Z,Matosinhos,Porto,1130800,2026-05-06,5.3,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-05-06T07:55:39,2026-05-06T12:06:59Z,Matosinhos,Porto,1130800,2026-05-07,5.9,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-05-06T07:55:39,2026-05-06T12:06:59Z,Matosinhos,Porto,1130800,2026-05-08,3.8,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-05-06T07:55:39,2026-05-06T12:06:59Z,Matosinhos,Porto,1130800,2026-05-09,3.9,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
2026-05-06T07:55:39,2026-05-06T12:06:59Z,Matosinhos,Porto,1130800,2026-05-10,4.3,Moderado,1,Amarelo,Proteção necessária,"Proteção necessária; usar óculos com filtro UV, chapéu, roupa que cubra a pele e protetor solar em pele exposta.",IPMA public-data forecast aggregate daily UV index
